City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
503,Nosy Varika,MG,73.85,clear sky,-20.5833,48.5333,Hotel Volazara
510,Iranshahr,IR,73.4,haze,27.2025,60.6848,پلکه بزرگ
511,Jacmel,HT,80.6,clear sky,18.2342,-72.5347,Hotel Florita
516,Prainha,BR,73.06,light rain,-1.8,-53.48,Casa Rocha
522,Pedernales,DO,78.53,clear sky,18.0384,-71.744,Hotel Costa Marina
523,Jambi,ID,81.54,moderate rain,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
528,Gulariya,NP,84.81,broken clouds,28.2333,81.3333,PUJA TRADING
529,Tual,ID,78.12,moderate rain,-5.6667,132.75,Grand Vilia Hotel
530,Puerto Madero,MX,78.8,few clouds,14.7208,-92.4215,Hotel La Central
531,Campoverde,PE,72.86,moderate rain,-8.4753,-74.8058,Hospedaje Coral's
532,Nechi,CO,75.42,moderate rain,8.0942,-74.7757,Ivan Villadiego guerra
538,Bonthe,SL,78.71,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
541,Atlantic Beach,US,75.99,clear sky,30.3344,-81.3987,One Ocean Resort & Spa
543,Wodonga,AU,77.0,clear sky,-36.1167,146.8833,The Hume Inn Motel
545,Conde,BR,77.0,few clouds,-7.2597,-34.9075,Pousada Beija Flor
546,Belmonte,BR,75.2,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
554,Bundaberg,AU,82.4,scattered clouds,-24.85,152.35,Takalvan Motel
561,Saint-Joseph,RE,77.0,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
564,Along,IN,82.63,clear sky,28.1667,94.7667,Hotel West
566,Voh,NC,87.39,few clouds,-20.9667,164.7,Le gîte du Koniambo
571,Vila Velha,BR,73.4,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
575,Bathsheba,BB,78.8,light rain,13.2167,-59.5167,Atlantis Hotel
576,Tabou,CI,76.98,overcast clouds,4.423,-7.3528,hotêl doufoulougou
577,Emerald,AU,87.8,overcast clouds,-23.5333,148.1667,The Irish Village
578,San Cristobal,VE,75.2,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
579,Lashio,MM,86.67,overcast clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
