City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
333,Tiksi,RU,71.6872,128.8694,8.31,87,100,0.85,overcast clouds
334,Tadine,NC,-21.55,167.8833,82.24,70,30,13.04,scattered clouds
335,Tenenkou,ML,14.4572,-4.9169,77.58,10,1,10.02,clear sky
336,Mecca,SA,21.4267,39.8261,71.28,53,5,2.86,clear sky
337,Alofi,NU,-19.0595,-169.9187,86.0,70,12,17.27,light rain
338,Rovaniemi,FI,66.5,25.7167,33.8,93,90,9.22,overcast clouds
339,Redmond,US,47.674,-122.1215,42.01,89,100,5.28,light rain
340,Asfi,MA,32.2994,-9.2372,62.42,70,58,4.12,broken clouds
341,Pangoa,PE,-12.1167,-73.0,68.43,98,100,2.64,light rain
342,Olinda,BR,-8.0089,-34.8553,75.2,88,40,2.3,light rain
343,Saint-Georges,GD,12.0564,-61.7485,80.6,83,75,13.8,light rain
344,Ramgarh,IN,23.6333,85.5167,78.8,41,0,4.74,haze
345,San Vicente,AR,-26.6167,-54.1333,62.17,99,49,1.07,scattered clouds
346,Staromyshastovskaya,RU,45.3433,39.0761,39.99,93,0,4.47,clear sky
347,Monrovia,LR,6.3005,-10.7969,75.2,94,75,0.89,fog
348,La Trinidad,PH,16.455,120.5875,77.23,53,83,4.7,broken clouds
